
result: name0187 ---> mIoU=81.2361%, MSE=0.0072, mAcc=0.1694%, time=0.0060s
result: name0188 ---> mIoU=88.1081%, MSE=0.0019, mAcc=0.2708%, time=0.0060s
result: name0189 ---> mIoU=40.9986%, MSE=0.0199, mAcc=0.2549%, time=0.0070s
result: name0190 ---> mIoU=50.3835%, MSE=0.0168, mAcc=0.2660%, time=0.0070s
result: name0191 ---> mIoU=91.4288%, MSE=0.0216, mAcc=0.6703%, time=0.0080s
result: name0192 ---> mIoU=90.7874%, MSE=0.0061, mAcc=0.6746%, time=0.0070s
result: name0193 ---> mIoU=90.5088%, MSE=0.0025, mAcc=0.3315%, time=0.0080s
result: name0194 ---> mIoU=75.4034%, MSE=0.0198, mAcc=0.6473%, time=0.0090s
result: name0195 ---> mIoU=89.5715%, MSE=0.0032, mAcc=0.4174%, time=0.0080s
result: name0196 ---> mIoU=89.5172%, MSE=0.0087, mAcc=0.4839%, time=0.0070s
result: name0197 ---> mIoU=81.5664%, MSE=0.0030, mAcc=0.4872%, time=0.0080s
result: name0198 ---> mIoU=91.2871%, MSE=0.0175, mAcc=0.5072%, time=0.0080s
result: name0199 ---> mIoU=82.4685%, MSE=0.0075, mAcc=0.2987%, time=0.0080s
result: name0200 ---> mIoU=91.4625%, MSE=0.0055, mAcc=0.3912%, time=0.0070s
result: name0201 ---> mIoU=94.4802%, MSE=0.0027, mAcc=0.2981%, time=0.0070s
result: name0202 ---> mIoU=91.0235%, MSE=0.0146, mAcc=0.5221%, time=0.0080s
result: name0203 ---> mIoU=75.8697%, MSE=0.0152, mAcc=0.2026%, time=0.0070s
result: name0204 ---> mIoU=89.9011%, MSE=0.0097, mAcc=0.4938%, time=0.0070s
result: name0205 ---> mIoU=55.0036%, MSE=0.0187, mAcc=0.2668%, time=0.0070s
result: name0206 ---> mIoU=92.5230%, MSE=0.0011, mAcc=0.3435%, time=0.0060s
result: name0207 ---> mIoU=87.6125%, MSE=0.0053, mAcc=0.3029%, time=0.0060s
result: name0208 ---> mIoU=87.4814%, MSE=0.0113, mAcc=0.4727%, time=0.0060s
result: name0209 ---> mIoU=63.9162%, MSE=0.0064, mAcc=0.3431%, time=0.0060s
result: name0210 ---> mIoU=72.6171%, MSE=0.0107, mAcc=0.1843%, time=0.0060s
result: name0211 ---> mIoU=88.2689%, MSE=0.0049, mAcc=0.3711%, time=0.0060s
result: name0212 ---> mIoU=74.0667%, MSE=0.0350, mAcc=0.3665%, time=0.0070s
result: name0213 ---> mIoU=44.9762%, MSE=0.0138, mAcc=0.2111%, time=0.0050s
result: name0214 ---> mIoU=88.2442%, MSE=0.0105, mAcc=0.6264%, time=0.0060s
result: name0215 ---> mIoU=82.3403%, MSE=0.0032, mAcc=0.3121%, time=0.0060s
result: name0216 ---> mIoU=57.9395%, MSE=0.0198, mAcc=0.2556%, time=0.0060s
result: name0217 ---> mIoU=35.6653%, MSE=0.0301, mAcc=0.2158%, time=0.0070s
result: name0218 ---> mIoU=81.3934%, MSE=0.0065, mAcc=0.2852%, time=0.0060s
result: name0219 ---> mIoU=82.0468%, MSE=0.0104, mAcc=0.3217%, time=0.0070s
result: name0220 ---> mIoU=74.9080%, MSE=0.0032, mAcc=0.2066%, time=0.0050s
result: name0221 ---> mIoU=37.9589%, MSE=0.0105, mAcc=0.1703%, time=0.0070s
result: name0222 ---> mIoU=78.0646%, MSE=0.0057, mAcc=0.5261%, time=0.0070s
result: name0223 ---> mIoU=93.9921%, MSE=0.0037, mAcc=0.5348%, time=0.0060s
result: name0224 ---> mIoU=94.3774%, MSE=0.0058, mAcc=0.6507%, time=0.0070s
result: name0225 ---> mIoU=67.4242%, MSE=0.0199, mAcc=0.1994%, time=0.0060s
result: name0226 ---> mIoU=85.4625%, MSE=0.0055, mAcc=0.3246%, time=0.0070s
result: name0227 ---> mIoU=78.2719%, MSE=0.0071, mAcc=0.4133%, time=0.0070s
result: name0228 ---> mIoU=72.7865%, MSE=0.0054, mAcc=0.3655%, time=0.0070s
